model,case_name,time_s,field_rmse,field_mae,coefficient_rmse
ExtraTrees,surrVal_014_H0269_obsH0068_x0351,0.975,0.10728673197684731,0.032152671204599394,0.596442464768229
ExtraTrees,surrVal_015_H0363_obsH0041_x0240,0.975,0.16533813646121673,0.05979516863488107,1.0115797105167517
ExtraTrees,surrVal_016_H0282_obsH0054_x0220,0.975,0.1073107333127604,0.03259834522286007,0.6556001646793547
ExtraTrees,surrVal_017_H0262_obsH0069_x0350,0.975,0.09916142887361917,0.031199315275609135,0.5667607931072802
ExtraTrees,surrVal_018_H0287_obsH0045_x0288,0.975,0.1167304458206991,0.03721844163550156,0.6706307516686039
ExtraTrees,surrVal_019_H0292_obsH0064_x0265,0.975,0.13944074172931997,0.04764363502295013,0.773049830640277
ExtraTrees,surrVal_020_H0243_obsH0040_x0238,0.975,0.11124864761324499,0.03098089517955703,0.6452564178115606
ExtraTrees,surrVal_021_H0245_obsH0042_x0375,0.975,0.09595463353951471,0.028836208333436437,0.54733348183612
ExtraTrees,surrVal_022_H0293_obsH0052_x0280,0.975,0.1300782941742183,0.043866663943838584,0.7746132273323485
ExtraTrees,surrVal_023_H0336_obsH0064_x0309,0.975,0.13664819895705532,0.04783571741162963,0.6245567796807525
ExtraTrees,surrVal_024_H0257_obsH0053_x0227,0.975,0.11182166400282054,0.03361735618877413,0.6553333920204885
ExtraTrees,surrVal_025_H0248_obsH0057_x0242,0.975,0.10399803737359793,0.029251984404493447,0.5898515181694212
ExtraTrees,surrVal_026_H0251_obsH0030_x0253,0.975,0.09997486375146435,0.026549054572474237,0.5877107004405451
ExtraTrees,surrVal_027_H0258_obsH0061_x0348,0.975,0.0823731368602579,0.02515260023494492,0.448476008395038
ExtraTrees,surrVal_028_H0284_obsH0052_x0357,0.975,0.13263946798392723,0.04392473392734418,0.7834012527935562
ExtraTrees,surrVal_029_H0346_obsH0066_x0342,0.975,0.13293149818375732,0.046971316530848996,0.7877040083994933
ExtraTrees,surrVal_030_H0353_obsH0035_x0286,0.975,0.1407290539764385,0.05059214963852436,0.8533808271503373
ExtraTrees,surrVal_031_H0307_obsH0069_x0233,0.975,0.13634179507325542,0.043124066535108606,0.7861360254587522
ExtraTrees,surrVal_032_H0344_obsH0050_x0276,0.975,0.12669221037016157,0.04396711599094124,0.7413269231858147
ExtraTrees,surrVal_033_H0317_obsH0060_x0336,0.975,0.1368073154675346,0.04660694830321165,0.7207885865077924
ExtraTrees,surrVal_034_H0357_obsH0039_x0234,0.975,0.15811708640047056,0.05751279607556539,0.9739855666624881
