case_name,dataset_split,water_height_m,obstacle_height_m,obstacle_front_x_m,obstacle_width_m,end_time_s,field_write_interval_s,metric_write_interval_s,run_status,final_time_s,mesh_ok,n_pressure_samples_status,n_area_average_samples,n_maximum_samples,peak_area_average_p_rgh_Pa,time_peak_area_average_p_rgh_s,peak_maximum_p_rgh_Pa,time_peak_maximum_p_rgh_s,peak_area_average_alpha_water,time_peak_area_average_alpha_water_s,peak_maximum_alpha_water,time_peak_maximum_alpha_water_s,first_local_wetting_time_s,first_distributed_wetting_time_s,local_wetting_duration_s,distributed_wetting_duration_s,area_average_pressure_impulse_Pa_s,maximum_pressure_impulse_Pa_s,final_area_average_p_rgh_Pa,final_maximum_p_rgh_Pa,final_area_average_alpha_water,final_maximum_alpha_water
surrGrid_H0240_obsH0066_x0292,training_grid,0.24,0.066,0.292,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,1449.253,0.165,4401.754,0.135,0.9504892,0.75,1.0,0.135,0.13,0.435,1.37,1.065,826.1848688644999,1472.1188278075006,667.0388,824.5378,0.9250302,1.0
surrGrid_H0240_obsH0066_x0320,training_grid,0.24,0.066,0.32,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,2064.967,0.54,4494.077,0.155,0.9999754,0.745,1.0,0.15,0.145,0.47,1.355,1.03,840.5000497077498,1532.3102099975,571.3225,840.9281,0.8145153,1.0
surrGrid_H0240_obsH0066_x0350,training_grid,0.24,0.066,0.35,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,2184.061,0.56,4888.097,0.165,0.9999831,0.785,1.0,0.165,0.16,0.505,1.34,0.995,795.5472492967493,1526.6603484857485,536.763,917.5703,0.7346893,1.0
surrGrid_H0240_obsH0066_x0380,training_grid,0.24,0.066,0.38,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,2213.773,0.565,5101.803,0.18,0.9717778,0.97,1.0,0.18,0.175,0.535,1.325,0.965,770.4036609909999,1559.50746106075,457.0387,955.6275,0.6637346,1.0
surrGrid_H0240_obsH0072_x0220,training_grid,0.24,0.072,0.22,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,1748.321,0.12,4523.569,0.12,0.9543509,1.26,1.0,0.095,0.085,0.245,1.415,1.255,964.4651206874996,1585.2437653024995,565.7782,844.7536,0.8071296,1.0
surrGrid_H0240_obsH0072_x0250,training_grid,0.24,0.072,0.25,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,1631.383,0.14,4274.475,0.135,0.946479,1.435,1.0,0.11,0.105,0.365,1.395,1.135,916.876617415001,1560.1682282324987,583.9661,802.4004,0.8649942,1.0
surrGrid_H0240_obsH0072_x0275,training_grid,0.24,0.072,0.275,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,1492.479,0.16,4181.644,0.145,0.9144324,1.055,1.0,0.125,0.12,0.415,1.38,1.085,846.3763031915004,1538.6029610950009,399.5287,644.8859,0.6567486,1.0
surrGrid_H0240_obsH0072_x0292,training_grid,0.24,0.072,0.292,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,2166.262,0.535,4415.089,0.135,0.9138504,1.415,1.0,0.135,0.13,0.44,1.37,1.06,830.4868240397504,1521.4131238300006,464.1757,676.5581,0.7191813,1.0
surrGrid_H0240_obsH0072_x0320,training_grid,0.24,0.072,0.32,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,1350.848,0.18,4490.93,0.15,0.9433685,0.735,1.0,0.15,0.145,0.47,1.355,1.03,815.2482680432499,1490.2762459800003,612.8396,880.087,0.9036975,1.0
surrGrid_H0240_obsH0072_x0350,training_grid,0.24,0.072,0.35,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,2070.529,0.59,4912.38,0.165,0.9955431,0.78,1.0,0.165,0.16,0.5,1.34,1.0,782.5340553787503,1487.4946829785001,524.1353,872.129,0.7259067,1.0
